ID,MET,category1,category2,activities
01003,14.0,aerobic,bicycling,"bicycling, mountain, uphill, vigorous"
01004,16.0,aerobic,bicycling,"bicycling, mountain, competitive, racing"
01008,8.5,aerobic,bicycling,"bicycling, BMX"
01009,8.5,aerobic,bicycling,"bicycling, mountain, general"
01010,4.0,aerobic,bicycling,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)"
01011,6.8,aerobic,bicycling,"bicycling, to/from work, self selected pace"
01013,5.8,aerobic,bicycling,"bicycling, on dirt or farm road, moderate pace"
01015,7.5,aerobic,bicycling,"bicycling, general"
01018,3.5,aerobic,bicycling,"bicycling, leisure, 5.5 mph"
01019,5.8,aerobic,bicycling,"bicycling, leisure, 9.4 mph"
01020,6.8,aerobic,bicycling,"bicycling, 10-11.9 mph, leisure, slow, light effort"
01030,8.0,aerobic,bicycling,"bicycling, 12-13.9 mph, leisure, moderate effort"
01040,10.0,aerobic,bicycling,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
01050,12.0,aerobic,bicycling,"bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general"
01060,15.8,aerobic,bicycling,"bicycling, > 20 mph, racing, not drafting"
01065,8.5,aerobic,bicycling,"bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm"
01066,9.0,aerobic,bicycling,"bicycling, 12 mph, standing, hands on brake hoods, 60 rpm"
01070,5.0,aerobic,bicycling,unicycling
02001,2.3,endurance,conditioning exercise,"activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)"
02003,3.8,endurance,conditioning exercise,"activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)"
02005,7.2,endurance,conditioning exercise,"activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort"
02008,5.0,endurance,conditioning exercise,"army type obstacle course exercise, boot camp training program "
02010,7.0,endurance,conditioning exercise,"bicycling, stationary, general"
02011,3.5,endurance,conditioning exercise,"bicycling, stationary, 30-50 watts, very light to light effort"
02012,6.8,endurance,conditioning exercise,"bicycling, stationary, 90-100 watts, moderate to vigorous effort"
02013,8.8,endurance,conditioning exercise,"bicycling, stationary, 101-160 watts, vigorous effort"
02014,11.0,endurance,conditioning exercise,"bicycling, stationary, 161-200 watts, vigorous effort"
02015,14.0,endurance,conditioning exercise,"bicycling, stationary, 201-270 watts, very vigorous effort"
02017,4.8,endurance,conditioning exercise,"bicycling, stationary, 51-89 watts, light-to-moderate effort "
